seq,step,time,tag,phase,current_bytes,actual_bytes,highwater_bytes
224,-1,7,kOmegaSST.omegaEqn.before,point,23857780783,40000000000,26507192863
225,-1,7,PDE.solveImpl.beforeAssemble,point,23857780783,40000000000,26507192863
226,-1,7,PDE.solveImpl.afterAssemble,point,23857780783,40000000000,26507192863
227,-1,7,PDE.solveImpl.beforeSolve,point,23857780783,40000000000,26507192863
228,-1,7,PDE.solveImpl.afterSolve,point,23857780783,40000000000,26507192863
229,-1,7,kOmegaSST.omegaEqn.after,point,23857780783,40000000000,26507192863
230,-1,0,kOmegaSST.boundRepair,enter,23857780783,40000000000,26507192863
231,-1,0,kOmegaSST.boundRepair,exit,23857780783,40000000000,26507192863
232,-1,7,kOmegaSST.kEqn.before,point,23857780783,40000000000,26507192863
233,-1,7,PDE.solveImpl.beforeAssemble,point,23857780783,40000000000,26507192863
234,-1,7,PDE.solveImpl.afterAssemble,point,23857780783,40000000000,26507192863
235,-1,7,PDE.solveImpl.beforeSolve,point,23857780783,40000000000,26507192863
236,-1,7,PDE.solveImpl.afterSolve,point,23857780783,40000000000,26507192863
237,-1,7,kOmegaSST.kEqn.after,point,23857780783,40000000000,26507192863
238,-1,7,kOmegaSST.correct,exit,20055572111,40000000000,26507192863
239,7,7,after-turb,point,20055572111,40000000000,26507192863
240,7,7,timeStep,exit,20055572111,40000000000,26507192863
241,8,8,timeStep,enter,20055572111,40000000000,26507192863
242,8,8,step-start,point,20055572111,40000000000,26507192863
243,8,8,momentumSolve,enter,20055572111,40000000000,26507192863
244,-1,8,PDE.solveRhs.afterAssemble,point,20055572111,40000000000,26507192863
245,-1,8,PDE.solveRhs.afterSavedRhs,point,20447580695,40000000000,26507192863
246,-1,8,PDE.solveRhs.beforeSolve,point,20447580695,40000000000,26507192863
247,-1,8,PDE.solveRhs.afterSolve,point,20447580695,40000000000,26507192863
248,8,8,momentumSolve,exit,20055572111,40000000000,26507192863
249,8,8,after-UEqn,point,20055572111,40000000000,26507192863
250,8,8,pEqn,enter,22182408231,40000000000,26507192863
251,-1,8,PDE.solveImpl.beforeAssemble,point,22182408231,40000000000,26507192863
252,-1,8,PDE.solveImpl.afterAssemble,point,22182408231,40000000000,26507192863
253,-1,8,PDE.solveImpl.beforeSolve,point,22182408231,40000000000,26507192863
254,-1,8,PDE.solveImpl.afterSolve,point,22182408231,40000000000,26507192863
255,8,8,pEqn,exit,22182408231,40000000000,26507192863
256,8,8,after-pEqn,point,20055572111,40000000000,26507192863
257,-1,8,kOmegaSST.correct,enter,20055572111,40000000000,26507192863
258,-1,8,kOmegaSST.afterGradients,point,23857780783,40000000000,26507192863
259,-1,8,kOmegaSST.omegaEqn.before,point,23857780783,40000000000,26507192863
260,-1,8,PDE.solveImpl.beforeAssemble,point,23857780783,40000000000,26507192863
261,-1,8,PDE.solveImpl.afterAssemble,point,23857780783,40000000000,26507192863
262,-1,8,PDE.solveImpl.beforeSolve,point,23857780783,40000000000,26507192863
263,-1,8,PDE.solveImpl.afterSolve,point,23857780783,40000000000,26507192863
264,-1,8,kOmegaSST.omegaEqn.after,point,23857780783,40000000000,26507192863
265,-1,8,kOmegaSST.kEqn.before,point,23857780783,40000000000,26507192863
266,-1,8,PDE.solveImpl.beforeAssemble,point,23857780783,40000000000,26507192863
267,-1,8,PDE.solveImpl.afterAssemble,point,23857780783,40000000000,26507192863
268,-1,8,PDE.solveImpl.beforeSolve,point,23857780783,40000000000,26507192863
269,-1,8,PDE.solveImpl.afterSolve,point,23857780783,40000000000,26507192863
270,-1,8,kOmegaSST.kEqn.after,point,23857780783,40000000000,26507192863
271,-1,0,kOmegaSST.boundRepair,enter,23857780783,40000000000,26507192863
272,-1,0,kOmegaSST.boundRepair,exit,23857780783,40000000000,26507192863
273,-1,8,kOmegaSST.correct,exit,20055572111,40000000000,26507192863
274,8,8,after-turb,point,20055572111,40000000000,26507192863
275,8,8,timeStep,exit,20055572111,40000000000,26507192863
276,9,9,timeStep,enter,20055572111,40000000000,26507192863
277,9,9,step-start,point,20055572111,40000000000,26507192863
278,9,9,momentumSolve,enter,20055572111,40000000000,26507192863
279,-1,9,PDE.solveRhs.afterAssemble,point,20055572111,40000000000,26507192863
280,-1,9,PDE.solveRhs.afterSavedRhs,point,20447580695,40000000000,26507192863
281,-1,9,PDE.solveRhs.beforeSolve,point,20447580695,40000000000,26507192863
282,-1,9,PDE.solveRhs.afterSolve,point,20447580695,40000000000,26507192863
283,9,9,momentumSolve,exit,20055572111,40000000000,26507192863
284,9,9,after-UEqn,point,20055572111,40000000000,26507192863
285,9,9,pEqn,enter,22182408231,40000000000,26507192863
286,-1,9,PDE.solveImpl.beforeAssemble,point,22182408231,40000000000,26507192863
287,-1,9,PDE.solveImpl.afterAssemble,point,22182408231,40000000000,26507192863
288,-1,9,PDE.solveImpl.beforeSolve,point,22182408231,40000000000,26507192863
289,-1,9,PDE.solveImpl.afterSolve,point,22182408231,40000000000,26507192863
290,9,9,pEqn,exit,22182408231,40000000000,26507192863
291,9,9,after-pEqn,point,20055572111,40000000000,26507192863
292,-1,9,kOmegaSST.correct,enter,20055572111,40000000000,26507192863
293,-1,9,kOmegaSST.afterGradients,point,23857780783,40000000000,26507192863
294,-1,9,kOmegaSST.omegaEqn.before,point,23857780783,40000000000,26507192863
295,-1,9,PDE.solveImpl.beforeAssemble,point,23857780783,40000000000,26507192863
296,-1,9,PDE.solveImpl.afterAssemble,point,23857780783,40000000000,26507192863
297,-1,9,PDE.solveImpl.beforeSolve,point,23857780783,40000000000,26507192863
298,-1,9,PDE.solveImpl.afterSolve,point,23857780783,40000000000,26507192863
299,-1,9,kOmegaSST.omegaEqn.after,point,23857780783,40000000000,26507192863
300,-1,9,kOmegaSST.kEqn.before,point,23857780783,40000000000,26507192863
301,-1,9,PDE.solveImpl.beforeAssemble,point,23857780783,40000000000,26507192863
302,-1,9,PDE.solveImpl.afterAssemble,point,23857780783,40000000000,26507192863
303,-1,9,PDE.solveImpl.beforeSolve,point,23857780783,40000000000,26507192863
304,-1,9,PDE.solveImpl.afterSolve,point,23857780783,40000000000,26507192863
305,-1,9,kOmegaSST.kEqn.after,point,23857780783,40000000000,26507192863
306,-1,9,kOmegaSST.correct,exit,20055572111,40000000000,26507192863
307,9,9,after-turb,point,20055572111,40000000000,26507192863
308,9,9,timeStep,exit,20055572111,40000000000,26507192863
309,10,10,timeStep,enter,20055572111,40000000000,26507192863
310,10,10,step-start,point,20055572111,40000000000,26507192863
311,10,10,momentumSolve,enter,20055572111,40000000000,26507192863
312,-1,10,PDE.solveRhs.afterAssemble,point,20055572111,40000000000,26507192863
313,-1,10,PDE.solveRhs.afterSavedRhs,point,20447580695,40000000000,26507192863
314,-1,10,PDE.solveRhs.beforeSolve,point,20447580695,40000000000,26507192863
315,-1,10,PDE.solveRhs.afterSolve,point,20447580695,40000000000,26507192863
316,10,10,momentumSolve,exit,20055572111,40000000000,26507192863
317,10,10,after-UEqn,point,20055572111,40000000000,26507192863
318,10,10,pEqn,enter,22182408231,40000000000,26507192863
319,-1,10,PDE.solveImpl.beforeAssemble,point,22182408231,40000000000,26507192863
320,-1,10,PDE.solveImpl.afterAssemble,point,22182408231,40000000000,26507192863
321,-1,10,PDE.solveImpl.beforeSolve,point,22182408231,40000000000,26507192863
322,-1,10,PDE.solveImpl.afterSolve,point,22182408231,40000000000,26507192863
323,10,10,pEqn,exit,22182408231,40000000000,26507192863
324,10,10,after-pEqn,point,20055572111,40000000000,26507192863
325,-1,10,kOmegaSST.correct,enter,20055572111,40000000000,26507192863
326,-1,10,kOmegaSST.afterGradients,point,23857780783,40000000000,26507192863
327,-1,10,kOmegaSST.omegaEqn.before,point,23857780783,40000000000,26507192863
328,-1,10,PDE.solveImpl.beforeAssemble,point,23857780783,40000000000,26507192863
329,-1,10,PDE.solveImpl.afterAssemble,point,23857780783,40000000000,26507192863
330,-1,10,PDE.solveImpl.beforeSolve,point,23857780783,40000000000,26507192863
331,-1,10,PDE.solveImpl.afterSolve,point,23857780783,40000000000,26507192863
332,-1,10,kOmegaSST.omegaEqn.after,point,23857780783,40000000000,26507192863
333,-1,10,kOmegaSST.kEqn.before,point,23857780783,40000000000,26507192863
334,-1,10,PDE.solveImpl.beforeAssemble,point,23857780783,40000000000,26507192863
335,-1,10,PDE.solveImpl.afterAssemble,point,23857780783,40000000000,26507192863
336,-1,10,PDE.solveImpl.beforeSolve,point,23857780783,40000000000,26507192863
337,-1,10,PDE.solveImpl.afterSolve,point,23857780783,40000000000,26507192863
338,-1,10,kOmegaSST.kEqn.after,point,23857780783,40000000000,26507192863
339,-1,10,kOmegaSST.correct,exit,20055572111,40000000000,26507192863
340,10,10,after-turb,point,20055572111,40000000000,26507192863
341,10,10,timeStep,exit,20055572111,40000000000,26507192863
342,11,11,timeStep,enter,20055572111,40000000000,26507192863
343,11,11,step-start,point,20055572111,40000000000,26507192863
344,11,11,momentumSolve,enter,20055572111,40000000000,26507192863
345,-1,11,PDE.solveRhs.afterAssemble,point,20055572111,40000000000,26507192863
346,-1,11,PDE.solveRhs.afterSavedRhs,point,20447580695,40000000000,26507192863
347,-1,11,PDE.solveRhs.beforeSolve,point,20447580695,40000000000,26507192863
348,-1,11,PDE.solveRhs.afterSolve,point,20447580695,40000000000,26507192863
349,11,11,momentumSolve,exit,20055572111,40000000000,26507192863
350,11,11,after-UEqn,point,20055572111,40000000000,26507192863
351,11,11,pEqn,enter,22182408231,40000000000,26507192863
